iter	Logloss
0	0.3864897842
1	0.2086935058
2	0.116082505
3	0.06782537108
4	0.04228953081
5	0.02796777056
6	0.01931432239
7	0.01413758846
8	0.01165511489
9	0.00957836222
10	0.008609707158
11	0.007784510663
12	0.007020454218
13	0.006515718718
14	0.006009843205
15	0.005678568702
16	0.005426151129
17	0.005162611185
18	0.005113265216
19	0.004833158354
20	0.004794240666
21	0.004762643249
22	0.004735155306
23	0.00455618895
24	0.004365871623
25	0.004249787195
26	0.004100349147
27	0.004048418875
28	0.003932833666
29	0.003787027688
30	0.003760142604
31	0.003670488332
32	0.003592399091
33	0.003489829209
34	0.003438444882
35	0.003383129574
36	0.003382980673
37	0.003382864719
38	0.00337974416
39	0.003299688129
40	0.003248191819
41	0.003201971633
42	0.003201970782
43	0.003161883868
44	0.003122755261
45	0.003097990407
46	0.003091136561
47	0.003085002639
48	0.003084989841
49	0.003046296757
50	0.00304625744
51	0.002991889093
52	0.002991867054
53	0.002966545582
54	0.00293237074
55	0.002932361392
56	0.002896008285
57	0.002895451632
58	0.002862335723
59	0.002862326257
60	0.002862275701
61	0.002856851434
62	0.002856851434
63	0.002851505941
64	0.002851487317
65	0.002851487317
66	0.002851485922
67	0.002851485922
68	0.002851485922
69	0.00285146432
70	0.00285146432
71	0.00284962699
72	0.002849613116
73	0.002849601405
74	0.002836032203
75	0.002836032203
76	0.002835996302
77	0.002791516683
78	0.002786480219
79	0.002786472573
80	0.002786456833
81	0.002785622692
82	0.002785614137
83	0.002785600062
84	0.002781464129
85	0.002781464129
86	0.002781464129
87	0.002781464129
88	0.002781464129
89	0.002781458823
90	0.002781440978
91	0.002781433049
92	0.002781401011
93	0.002764896844
94	0.002717458508
95	0.002717458508
96	0.002712436993
97	0.002712436993
98	0.00271242111
99	0.002712407012
100	0.002684553057
101	0.002684522674
102	0.002679783397
103	0.002679752388
104	0.002662875578
105	0.002662875578
106	0.002662872754
107	0.002658460634
108	0.002658460634
109	0.002658447032
110	0.002658417204
111	0.002658417204
112	0.002658402633
113	0.002658402633
114	0.002658387731
115	0.002658387731
116	0.002637481489
117	0.002637474859
118	0.002634639716
119	0.002597286562
120	0.002597275808
121	0.00259727055
122	0.002597262348
123	0.002597257952
124	0.002597250968
